Clan,Domain,Eukaryota,Bacteria,Archea
Periplas_BP,ABC_sub_bind,0,1493,6
Periplas_BP,ANF_receptor,261,115,0
Periplas_BP,Bmp,9,1854,56
Periplas_BP,LppC,0,1022,0
Periplas_BP,Peripla_BP_1,0,2045,0
Periplas_BP,Peripla_BP_3,1,3420,0
Periplas_BP,Peripla_BP_4,0,2841,13
Periplas_BP,Peripla_BP_5,4,660,0
Periplas_BP,Peripla_BP_6,26,2647,71
PBP,DUF3834,1,1,11
PBP,HisG,174,3279,131
PBP,Lig_chan-Glu_bd,106,0,0
PBP,Lipoprotein_8,0,56,0
PBP,Lipoprotein_9,0,3244,0
PBP,LysR_substrate,1,4425,0
PBP,Mycoplasma_p37,0,48,0
PBP,NMT1,142,2719,32
PBP,NMT1_2,0,1638,77
PBP,OpuAC,0,2988,34
PBP,PBP_like,0,621,85
PBP,PBP_like_2,37,3858,119
PBP,Phosphonate-bd,27,2029,32
PBP,SBP_bac_1,10,2459,66
PBP,SBP_bac_11,0,3139,115
PBP,SBP_bac_3,166,4084,72
PBP,SBP_bac_5,127,4082,0
PBP,SBP_bac_6,49,2629,61
PBP,SBP_bac_7,9,1756,0
PBP,SBP_bac_8,0,3568,73
PBP,TctC,7,1115,0
PBP,Transferrin,232,0,0
PBP,VitK2_biosynth,0,502,52
