GeneID,pident,chemotaxis,ribosom,signal,receptor,enzyme,kinase,morpho,tRNA,GPCR,G protein,transcription,translation,replication,purine,biosynthesis,transcription factor,division,7tm_1,G_alpha,nerv
114787,55.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114786,95.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114785,92.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114784,94.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114783,86.35,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
221545,83.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114781,90.52,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
114780,74.76,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246176,62.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114789,97.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114788,97.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28996,96.75,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
28991,80.36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28990,78.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28992,83.38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28999,83.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
504189,85.58,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55293,81.52,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55290,85.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55291,95.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55296,97.72,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55297,78.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55294,97.61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55295,87.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5982,95.95,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
51266,59.13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51265,81.62,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55299,91.22,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5986,79.94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5987,98.44,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
5984,91.21,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
51260,87.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
