GeneID,pident,TMn,SeqLen,GPCRHMM,ribosom,undefined,receptor,GPCR,G-protein_coupled_receptor,channel,receptor_tyrosine_kinase,enzyme,nuclear_receptor,ase,membrane
114787,55.76,0,1008,0,0,0,0,0,0,0,0,0,0,0,1
114786,95.76,9,650,0,0,0,0,0,0,0,0,0,0,0,1
114785,92.27,0,1003,0,0,0,0,0,0,0,0,0,0,1,0
114784,94.14,1,3631,0,0,0,0,0,0,0,0,0,0,1,1
114783,86.35,2,1460,0,0,0,0,0,0,0,0,0,0,1,1
221545,76.98,2,496,0,0,0,0,0,0,0,0,0,0,0,1
114781,90.52,0,582,0,0,0,0,0,0,0,0,0,0,0,0
114780,68.42,11,306,0,0,0,1,0,1,1,0,0,0,1,1
246176,62.95,0,844,0,0,0,0,0,0,0,0,0,0,0,1
114789,96.99,0,366,0,0,0,0,0,0,0,0,0,0,1,1
114788,97.38,2,3707,0,0,0,0,0,0,0,0,0,0,0,1
65094,72.94,0,447,0,0,0,0,0,0,0,0,0,0,1,0
504180,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
28990,76.31,0,704,0,0,0,0,0,0,0,0,0,0,1,0
28992,76.14,0,188,0,0,0,0,0,0,0,0,0,0,0,0
100533952,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
28999,83.65,0,416,0,0,0,0,0,0,0,0,0,0,1,0
28998,89.33,0,178,0,1,0,0,0,0,0,0,0,0,0,1
101060200,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
282969,81.58,0,154,0,0,0,0,0,0,0,0,0,0,0,0
55290,85.2,0,419,0,0,0,0,0,0,0,0,0,0,1,1
55291,95.76,0,873,0,0,0,0,0,0,0,0,1,0,1,0
55296,97.72,3,526,0,0,0,0,0,0,0,0,1,0,1,0
55297,78.4,0,449,0,0,0,0,0,0,0,0,0,0,0,1
55294,97.61,1,627,0,0,0,0,0,0,0,0,0,0,0,0
146547,80.29,0,855,0,0,0,0,0,0,0,0,0,0,1,0
5982,95.95,0,251,0,0,0,0,0,0,0,0,0,0,1,1
51266,58.38,1,196,0,0,0,1,0,0,0,0,0,0,0,1
51265,81.62,0,455,0,0,0,1,0,0,0,0,0,0,1,0
5981,81.16,0,1147,0,0,0,0,0,0,0,0,1,0,1,1
51263,86.08,0,161,0,1,0,0,0,0,0,0,0,0,0,1
5987,98.44,0,513,0,0,0,1,0,0,0,0,0,0,1,1
5984,91.21,0,363,0,0,0,0,0,0,0,0,0,0,1,1
5985,93.77,0,340,0,0,0,0,0,0,0,0,1,0,1,1
401399,74.66,5,429,0,0,0,0,0,0,0,0,0,0,1,1
102724965,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
146542,74.01,0,276,0,0,0,0,0,0,0,0,0,0,1,0
55614,83.45,0,1287,0,0,0,0,0,0,0,0,0,0,1,1
83896,85.71,0,98,0,0,0,0,0,0,0,0,0,0,0,1
140730,98.88,0,269,0,0,0,0,0,0,0,0,0,0,0,1
55615,88.95,0,379,0,0,0,0,0,0,0,0,1,0,1,0
83895,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1
57480,79.48,0,1385,0,0,0,0,0,0,0,0,0,0,1,0
339883,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
55612,88.63,0,677,0,0,0,0,0,0,0,0,0,0,1,1
259239,59.26,1,87,0,0,0,0,0,0,0,0,0,0,0,0
147407,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
101060689,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
967,78.57,4,238,0,0,0,1,0,0,0,0,0,0,0,1
128876,78.92,0,747,0,0,0,0,0,0,0,0,0,0,0,0
55342,98.81,0,672,0,0,0,0,0,0,0,0,0,0,1,1
26585,77.17,1,143,0,0,0,0,0,0,0,0,0,0,0,0
392376,-1,7,-1,1,0,0,1,1,1,0,0,0,0,0,1
960,70.04,1,743,0,0,0,1,0,0,0,0,0,0,1,1
55611,99.63,0,271,0,0,0,0,0,0,0,0,0,0,1,0
101060684,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
961,69.86,5,293,0,0,0,1,0,0,0,0,0,0,0,1
6794,93.57,1,600,0,0,0,0,0,0,0,0,0,0,1,0
10612,98.12,0,744,0,0,0,0,0,0,0,0,0,0,0,0
6792,96.02,0,1030,0,0,0,0,0,0,0,0,0,0,1,0
6793,84.42,0,968,0,0,0,0,0,0,0,0,0,0,1,0
6790,83.42,0,403,0,0,0,0,0,0,0,0,1,0,1,1
348378,77.37,1,190,0,0,0,0,0,0,0,0,0,0,0,1
963,81.28,4,219,0,0,0,0,0,0,0,0,0,0,0,1
2556,96.35,4,492,0,0,0,1,0,1,1,0,0,0,0,1
286097,90.91,1,517,0,0,0,0,0,0,0,0,0,0,1,1
6799,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
56121,76.35,1,787,0,0,0,0,0,0,0,0,0,0,0,1
56123,75.16,1,798,0,0,0,0,0,0,0,0,0,0,0,1
56122,78.25,1,798,0,0,0,0,0,0,0,0,0,0,0,1
56125,75.41,1,797,0,0,0,0,0,0,0,0,0,0,0,1
56124,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
56127,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
56126,78.03,1,800,0,0,0,0,0,0,0,0,0,0,0,1
56129,77.48,1,793,0,0,0,0,0,0,0,0,0,0,0,1
56128,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1
402055,68.4,0,339,0,0,0,0,0,0,0,0,0,0,1,0
283807,88.13,0,231,0,0,0,0,0,0,0,0,0,0,1,0
148156,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
4641,96.79,0,1028,0,0,0,0,0,0,0,0,0,0,1,1
101930295,37.13,0,403,0,0,1,0,0,0,0,0,0,0,0,0
260293,69.74,1,509,0,0,0,0,0,0,0,0,0,0,1,1
23309,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,1
29940,93.95,2,958,0,0,0,0,0,0,0,0,0,0,1,1
165829,70.01,7,814,1,0,0,1,1,1,0,0,0,0,1,1
270,93.14,0,776,0,0,0,0,0,0,0,0,0,0,1,0
271,98.14,0,760,0,0,0,0,0,0,0,0,0,0,1,0
272,94.74,0,608,0,0,0,0,0,0,0,0,0,0,1,0
273,97.17,0,819,0,0,0,0,0,0,0,0,0,0,1,1
274,91.36,0,470,0,0,0,0,0,0,0,0,1,0,1,1
275,78.41,0,359,0,0,0,0,0,0,0,0,0,0,1,0
276,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
277,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0
278,85.13,0,511,0,0,0,0,0,0,0,0,0,0,1,0
279,84.93,0,511,0,0,0,0,0,0,0,0,0,0,1,0
53947,80.17,1,353,0,0,0,0,0,0,0,0,0,0,1,1
286238,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
55839,71.25,0,319,0,0,0,0,0,0,0,0,0,0,0,1
400863,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
81850,71.25,0,167,0,0,0,0,0,0,0,0,0,0,0,1
23308,-1,1,-1,0,0,0,0,0,0,0,0,0,0,1,1
23770,91.28,1,413,0,0,0,1,0,0,0,0,0,0,1,1
124944,94.79,0,192,0,0,0,0,0,0,0,0,0,0,0,0
100652748,-1,2,-1,0,0,0,0,0,0,0,0,0,0,1,1
504189,85.58,8,319,1,0,0,1,1,1,0,0,0,0,0,1
101060859,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0
340542,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
389208,86.9,1,438,0,0,0,0,0,0,0,0,0,0,1,1
153770,87.68,0,157,0,0,0,0,0,0,0,0,0,0,0,0
389203,90.91,1,67,0,0,0,0,0,0,0,0,0,0,0,1
196074,76.83,1,273,0,0,0,0,0,0,0,0,0,0,1,0
389206,94.16,0,441,0,0,0,0,0,0,0,0,0,0,1,0
389207,92.04,0,290,0,0,0,0,0,0,0,0,0,0,1,0
221960,96.79,0,482,0,0,0,0,0,0,0,0,0,0,0,0
63027,92.22,11,694,0,0,0,0,0,0,0,0,0,0,0,1
9528,82.46,1,257,0,0,0,0,0,0,0,0,0,0,0,1
9529,90.83,0,447,0,0,0,0,0,0,0,0,0,0,0,0
9258,94.58,0,1052,0,0,0,0,0,0,0,0,0,0,0,0
2559,92.52,4,453,0,0,0,1,0,1,1,0,0,0,0,1
9256,79.86,0,1467,0,0,0,1,0,0,0,0,0,0,1,0
57475,83.18,0,1325,0,0,0,0,0,0,0,0,0,0,1,1
9254,96.61,1,1150,0,0,0,0,0,0,1,0,0,0,0,1
9255,84.42,0,336,0,0,0,0,0,0,0,0,1,0,1,1
57470,85.74,0,583,0,0,0,0,0,0,0,0,0,0,1,0
57471,61.54,0,297,0,0,0,0,0,0,0,0,0,0,1,1
9522,98.52,4,338,0,0,0,0,0,0,0,0,0,0,0,1
715,83.03,0,705,0,0,0,1,0,0,0,0,0,0,1,0
26017,98.21,0,112,0,0,0,0,0,0,0,0,0,0,1,1
7620,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
5989,93.56,0,870,0,0,0,0,0,0,0,0,0,0,1,0
81858,72.9,0,387,0,0,0,0,0,0,0,0,0,0,0,0
378807,73.8,7,472,0,0,0,0,0,0,1,0,0,0,1,1
84126,75.79,0,664,0,0,0,0,0,0,0,0,0,0,1,1
84124,63.01,0,354,0,0,0,0,0,0,0,0,0,0,1,0
84125,60.66,0,1658,0,0,0,0,0,0,0,0,0,0,1,0
284021,30.67,1,285,0,0,0,0,0,0,0,0,0,0,0,1
84128,84.4,0,830,0,0,0,0,0,0,0,0,0,0,0,1
84129,81.09,0,780,0,0,0,1,0,0,0,0,1,0,1,1
255104,77.32,2,594,0,0,0,0,0,0,0,0,0,0,0,1
727897,54.99,0,5762,0,0,0,0,0,0,0,0,1,0,1,0
26020,88.06,1,713,0,0,0,1,0,0,0,0,0,0,1,1
26027,87.77,0,607,0,0,0,0,0,0,0,0,1,0,1,0
26025,83.62,1,820,0,0,0,0,0,0,0,0,0,0,0,1
100507096,74.07,0,217,0,0,0,0,0,0,0,0,0,0,1,0
124359,90.96,1,506,0,0,0,0,0,0,0,0,0,0,1,1
80271,75.15,0,683,0,0,0,0,0,0,0,0,0,0,1,0
