qseqid,sseqid,evalue,bitscore,score,pident,qstart,qend,qlen,sstart,send,slen
ENSECAP00000012866,ENSECAP00000012866,0.0, 1775,4598,100.00,1,854,854,1,854,854
ENSECAP00000012866,ENSCAFP00000022585,0.0, 1514,3920,84.43,1,854,854,1,867,867
ENSECAP00000012866,ENSFCAP00000020177,0.0, 1489,3856,84.22,1,854,854,1,866,866
ENSECAP00000012866,ENSBTAP00000001353,0.0, 1401,3627,79.24,1,854,854,1,858,858
ENSECAP00000012866,ENSOARP00000010255,0.0, 1380,3573,77.79,1,854,854,1,860,860
ENSECAP00000012866,ENSOCUP00000001697,0.0, 1377,3565,77.03,1,854,854,25,907,907
ENSECAP00000012866,ENSP00000440994,0.0, 1333,3451,76.48,1,854,854,1,853,853
ENSECAP00000012866,ENSP00000228850,0.0, 1333,3451,76.48,1,854,854,1,853,853
ENSECAP00000012866,ENSPPYP00000004752,0.0, 1330,3442,77.06,1,854,854,1,858,858
ENSECAP00000012866,ENSMMUP00000027397,0.0, 1329,3440,76.72,1,854,854,1,852,852
ENSECAP00000012866,ENSPTRP00000007789,0.0, 1326,3432,76.74,1,854,854,1,858,858
ENSECAP00000012866,ENSSSCP00000010069,4e-06,57.0,136,34.02,758,853,854,1810,1900,1901
ENSECAP00000012866,ENSBTAP00000028432,4e-06,57.0,136,33.62,737,851,854,1495,1606,1609
ENSECAP00000012866,ENSECAP00000000130,5e-06,56.6,135,34.04,758,851,854,1535,1624,1627
ENSECAP00000012866,ENSBTAP00000019629,5e-06,56.2,134,31.96,758,853,854,1811,1901,1902
ENSECAP00000012866,ENSOARP00000022126,5e-06,56.2,134,34.04,758,851,854,1765,1854,1857
ENSECAP00000012866,ENSONIP00000007086,6e-06,56.2,134,29.59,757,854,854,1517,1614,1614
ENSECAP00000012866,ENSACAP00000014593,6e-06,56.2,134,34.04,758,851,854,1588,1677,1680
ENSECAP00000012866,ENSECAP00000018435,6e-06,56.2,134,32.29,758,853,854,1411,1501,1502
ENSECAP00000012866,ENSOCUP00000013768,1e-05,55.5,132,33.33,758,853,854,1806,1896,1897
ENSECAP00000012866,ENSGGOP00000020443,6e-05,52.8,125,31.96,758,853,854,1785,1875,1876
ENSECAP00000012866,ENSPANP00000017563,6e-05,52.8,125,31.96,758,853,854,1808,1898,1899
ENSECAP00000012866,ENSPTRP00000009917,7e-05,52.8,125,31.96,758,853,854,1810,1900,1901
ENSECAP00000012866,ENSPANP00000002586,7e-05,52.8,125,31.96,758,853,854,1801,1891,1892
ENSECAP00000012866,ENSGGOP00000012958,7e-05,52.8,125,31.96,758,853,854,1794,1884,1885
ENSECAP00000012866,ENSPPYP00000006059,7e-05,52.8,125,31.96,758,853,854,1810,1900,1901
ENSECAP00000012866,ENSP00000025301,7e-05,52.8,125,31.96,758,853,854,1810,1900,1901
ENSECAP00000012866,ENSFCAP00000005492,1e-04,52.4,124,32.29,758,853,854,1817,1907,1908
ENSECAP00000012866,ENSMUSP00000022593,1e-04,52.0,123,33.00,758,853,854,1793,1883,1894
ENSECAP00000012866,ENSMUSP00000116015,1e-04,52.0,123,33.00,758,853,854,1794,1884,1895
ENSECAP00000012866,ENSCJAP00000032525,1e-04,52.0,123,30.69,754,853,854,1807,1901,1902
ENSECAP00000012866,ENSCAFP00000006962,2e-04,51.6,122,30.85,758,851,854,1813,1896,1899
ENSECAP00000012866,ENSACAP00000001806,6e-04,49.7,117,29.25,758,854,854,1847,1942,1942
ENSECAP00000012866,ENSOANP00000007355,0.001,48.5,114,31.68,754,853,854,1856,1950,1951
ENSECAP00000012866,ENSMMUP00000041059,0.002,46.6,109,39.44,1,69,854,1,58,213
ENSECAP00000012866,ENSMODP00000018577,0.002,48.1,113,31.63,757,853,854,1853,1944,1945
ENSECAP00000012866,ENSSSCP00000013096,0.002,44.3,103,56.25,1,32,854,1,32,97
ENSECAP00000012866,ENSDARP00000040668,0.002,47.8,112,31.58,757,851,854,1499,1592,1596
ENSECAP00000012866,ENSNLEP00000001935,0.003,47.4,111,33.80,758,828,854,1782,1849,1861
ENSECAP00000012866,ENSSSCP00000030704,0.003,45.1,105,56.25,1,32,854,16,47,188
ENSECAP00000012866,ENSP00000402403,0.004,45.1,105,35.94,1,64,854,1,63,213
ENSECAP00000012866,ENSRNOP00000054952,0.006,46.2,108,33.80,758,828,854,1790,1857,1892
ENSECAP00000012866,ENSSSCP00000028341,0.007,44.7,104,56.25,1,32,854,1,32,208
ENSECAP00000012866,ENSSSCP00000028341,6.9,35.4,80,28.43,36,122,854,96,196,208
ENSECAP00000012866,ENSGALP00000035714,0.008,45.8,107,34.69,758,851,854,1791,1881,1884
ENSECAP00000012866,ENSMGAP00000015879,0.016,45.1,105,34.34,760,854,854,1741,1832,1832
ENSECAP00000012866,ENSMGAP00000018970,0.020,44.7,104,41.18,757,807,854,1599,1649,1653
ENSECAP00000012866,Solyc12g096610.1.1,0.024,43.1,100,30.61,758,854,854,141,232,251
